texto,emocion
"estoy furioso con ellos",enojo
"me siento muy ofendido",enojo
"todo esto me enfurece",enojo
"estoy cansado de aguantar",enojo
"me colmaron la paciencia",enojo
"ando de mal humor",enojo
"qué impotencia siento",enojo
"estoy realmente molesto",enojo
"ando demasiado molesto hoy",enojo
"todo esto me tiene furioso",enojo
"me siento lleno de enojo",enojo
"ya perdí la paciencia completamente",enojo
"esto me hace sentir mucha rabia",enojo
"ando irritado por todo",enojo
"me molesta demasiado esta situación",enojo
"estoy muy cansado de esto",enojo
"todo me desespera hoy",enojo
"me siento enfadado con todos",enojo
"ando con un humor terrible",enojo
"estoy muy frustrado con la gente",enojo
"esto realmente me hace explotar",enojo
"me siento extremadamente molesto",enojo
"ando harto de tantas cosas",enojo
"Estoy tranquilo en casa",calma
"Me siento relajado escuchando música",calma
"Estoy en paz conmigo mismo",calma
"Disfruto el silencio de la tarde",calma
"Estoy sereno después de meditar",calma
"Hoy quiero descansar tranquilamente",calma
"Me siento cómodo y relajado",calma
"Todo está muy tranquilo hoy",calma
"Estoy disfrutando un momento de paz",calma
"Me gusta escuchar la lluvia",calma
"Estoy descansando sin preocupaciones",calma
"Me siento equilibrado emocionalmente",calma
"Hoy tengo mucha tranquilidad",calma
"Estoy relajándome después del trabajo",calma
"Me siento estable y sereno",calma
"Estoy respirando profundamente",calma
"Quiero disfrutar este momento en calma",calma
"Me siento ligero y tranquilo",calma
"Estoy descansando en silencio",calma
"Todo se siente en armonía",calma
"ando relajado hoy",calma
"todo está en paz",calma
"me siento muy tranquilo",calma
"qué rico descansar",calma
"ando disfrutando el silencio",calma
"me siento en armonía",calma
"estoy muy relajado esta noche",calma
"todo fluye tranquilamente",calma
"me siento estable emocionalmente",calma
"estoy descansando feliz",calma
"me gusta este momento de paz",calma
"ando desconectado del estrés",calma
"todo está bastante tranquilo",calma
"me siento cómodo conmigo mismo",calma
"qué paz siento hoy",calma
"estoy respirando tranquilo",calma
"ando calmado y relajado",calma
"me siento ligero",calma
"todo está bajo control",calma
"quiero quedarme descansando",calma
"ando disfrutando la tranquilidad",calma
"me siento muy sereno",calma
"todo se siente estable",calma
"estoy descansando mentalmente",calma
"me siento muy equilibrado",calma
"ando relajándome en casa",calma
"qué tranquilidad se siente",calma
"me siento muy en paz",calma
"estoy descansando después del día",calma
"todo está bastante armonioso",calma
"me siento muy tranquilo esta tarde",calma
"todo está muy silencioso y relajante",calma
"ando descansando sin preocupaciones",calma
"me siento completamente relajado",calma
"qué paz se siente aquí",calma
"estoy disfrutando mucho la calma",calma
"todo se siente muy estable",calma
"ando relajado escuchando música suave",calma
"me siento tranquilo conmigo mismo",calma
"estoy teniendo un momento muy pacífico",calma
"me siento calmado y sereno",calma
"todo está bastante relajado hoy",calma
"ando en un estado de tranquilidad",calma
"me siento bien descansando",calma
"estoy disfrutando la serenidad",calma
"Estoy estresado por los exámenes",estres
"Me preocupa no terminar a tiempo",estres
"Estoy bajo mucha presión en el trabajo",estres
"Me siento agobiado por tantas tareas",estres
"Estoy nervioso por la presentación",estres
"No sé cómo terminar todo hoy",estres
"Tengo demasiadas responsabilidades",estres
"Me siento saturado mentalmente",estres
"Estoy preocupado por mis pendientes",estres
"No puedo dejar de pensar en el trabajo",estres
"Siento mucha presión últimamente",estres
"Estoy cansado de tantas obligaciones",estres
"Me siento abrumado por los problemas",estres
"Hoy tengo demasiadas cosas que hacer",estres
"No logro relajarme",estres
"Estoy preocupado por el futuro",estres
"Mi mente no deja de pensar",estres
"Siento ansiedad por todo",estres
"Estoy agotado por el estrés",estres
"No puedo concentrarme por la presión",estres
"ando explotado de tareas",estres
"ya no aguanto el trabajo",estres
"mi cabeza ya no da más",estres
"tengo demasiada presión",estres
"ando súper saturado",estres
"no sé cómo terminar todo",estres
"me siento colapsado",estres
"tengo demasiadas responsabilidades",estres
"ando muy ansioso",estres
"me siento bajo mucha presión",estres
"todo me está agobiando",estres
"ando preocupado por todo",estres
"no logro descansar mentalmente",estres
"mi mente no se apaga",estres
"estoy demasiado cansado",estres
"tengo mil cosas pendientes",estres
"me siento mentalmente agotado",estres
"ando desesperado por el tiempo",estres
"todo me tiene preocupado",estres
"no puedo concentrarme bien",estres
"ando muy tensionado",estres
"me siento sobrecargado",estres
"todo me está saturando",estres
"ando estresadísimo",estres
"no doy con tantas tareas",estres
"me siento presionado constantemente",estres
"ando agotado emocionalmente",estres
"mi cabeza está saturada",estres
"todo esto me genera ansiedad",estres
"me siento muy abrumado",estres
"ando muy presionado últimamente",estres
"todo me está generando ansiedad",estres
"me siento agotado por tantas tareas",estres
"ando demasiado preocupado",estres
"mi mente está llena de preocupaciones",estres
"todo me tiene muy tenso",estres
"ando saturado con el trabajo",estres
"me siento bajo demasiada presión",estres
"estoy cansado mentalmente",estres
"no logro dejar de preocuparme",estres
"ando muy cargado emocionalmente",estres
"todo me está consumiendo energía",estres
"me siento colapsado por las responsabilidades",estres
"ando muy estresado hoy",estres
"no puedo manejar tanta presión",estres

















